PAIR	R1	R2	WORDCLASS
ἀπορία/ἐπιχείρημα	same_domain	same_domain	n
ἀπορία/ἔνστασις	synonym	same_domain	n
ἀπορία/πρόβλημα	synonym	distantly_related	n
ἀπορία/νόσος	distantly_related	distantly_related	n
ἀπορία/ταραχή	synonym	related	n
ἀπορία/συμφορά	related	related	n
ἀπορία/φόβος	same_domain	related	n
ἀπορία/ἔνδεια	synonym	synonym	n
ἀπορία/πάθος	related	same_domain	n
ἀπορία/ὑπόθεσις	distantly_related	same_domain	n
ἀπορία/κίνδυνος	related	related	n
ἀπορία/διαφορά	distantly_related	distantly_related	n
ἀπορία/χρεία	synonym	related	n
μάχη/πόλεμος	related	related	n
μάχη/βάρβαρος	same_domain	same_domain	n
μάχη/στρατός	same_domain	same_domain	n
μάχη/ὅπλον	same_domain	same_domain	n
μάχη/στρατιώτης	same_domain	same_domain	n
μάχη/στρατόπεδον	same_domain	same_domain	n
μάχη/στράτευμα	same_domain	same_domain	n
μάχη/ἱππεύς	same_domain	same_domain	n
μάχη/στρατιά	same_domain	same_domain	n
μάχη/πολέμιος	same_domain	distantly_related	n
μάχη/ἀγών	synonym	related	n
μάχη/ναυμαχία	related	related	n
μάχη/παράταξις	synonym	same_domain	n
μάχη/νίκη	same_domain	same_domain	n
μάχη/πλῆθος	same_domain	unrelated	n
μάχη/κίνδυνος	same_domain	distantly_related	n
μάχη/φόνος	distantly_related	related	n
μάχη/πόνος	same_domain	distantly_related	n
μάχη/καιρός	unrelated	unrelated	n
μάχη/ἔργον	related	distantly_related	n
μάχη/ναῦς	same_domain	same_domain	n
ἀδελφός/υἱός	related	related	n
ἀδελφός/πατήρ	related	related	n
ἀδελφός/ἀδελφή	related	related	n
ἀδελφός/παῖς	related	related	n
ἀδελφός/θυγάτηρ	related	related	n
ἀδελφός/τέκνον	related	related	n
ἀδελφός/βασιλεύς	distantly_related	same_domain	n
ἀδελφός/γυνή	distantly_related	distantly_related	n
ἀδελφός/μήτηρ	related	distantly_related	n
ἀδελφός/κύριος	distantly_related	same_domain	n
ἀδελφός/ἀνήρ	related	distantly_related	n
ἀδελφός/ἀνεψιός	related	related	n
ἀδελφός/δεσπότης	distantly_related	same_domain	n
αἰτία/γένεσις	synonym	synonym	n
αἰτία/πρᾶγμα	synonym	same_domain	n
αἰτία/τρόπος	distantly_related	same_domain	n
αἰτία/ἀρχή	synonym	synonym	n
αἰτία/πάθος	same_domain	distantly_related	n
αἰτία/διαφορά	unrelated	same_domain	n
αἰτία/φύσις	related	synonym	n
αἰτία/ἀπορία	same_domain	same_domain	n
αἰτία/ἀνάγκη	distantly_related	related	n
αἰτία/λόγος	synonym	synonym	n
αἰτία/πρόφασις	synonym	synonym	n
αἰτία/μεταβολή	unrelated	distantly_related	n
αἰτία/λύσις	related	same_domain	n
αἰτία/σημεῖον	distantly_related	same_domain	n
αἰτία/καιρός	distantly_related	distantly_related	n
αἰτία/εἶδος	unrelated	unrelated	n
αἰτία/ὑπόθεσις	synonym	synonym	n
αἰτία/χάρις	related	same_domain	n
αἰτία/διάθεσις	unrelated	same_domain	n
ἡδονή/ἐπιθυμία	related	related	n
ἡδονή/λύπη	related	distantly_related	n
ἡδονή/βίος	unrelated	same_domain	n
ἡδονή/ἀρετή	same_domain	distantly_related	n
ἡδονή/ἔρως	related	distantly_related	n
ἡδονή/ψυχή	unrelated	distantly_related	n
ἡδονή/πάθος	distantly_related	related	n
ἡδονή/κακία	related	same_domain	n
ἡδονή/δόξα	same_domain	same_domain	n
ἡδονή/πλοῦτος	same_domain	distantly_related	n
ἡδονή/χάρις	synonym	synonym	n
ἡδονή/τρυφή	same_domain	related	n
ἡδονή/πρᾶξις	unrelated	same_domain	n
ἡδονή/κάλλος	same_domain	related	n
ἡδονή/φόβος	unrelated	same_domain	n
ἡδονή/ἐλπίς	same_domain	distantly_related	n
ἡδονή/πόνος	related	same_domain	n
καρδία/ἀρτηρία	related	distantly_related	n
καρδία/ἐγκέφαλος	related	related	n
καρδία/πνεῦμα	related	same_domain	n
καρδία/φλέψ	related	distantly_related	n
καρδία/ψυχή	synonym	related	n
καρδία/πνεύμων	related	related	n
καρδία/κεφαλή	distantly_related	related	n
καρδία/ἧπαρ	related	related	n
καρδία/φρήν	synonym	related	n
καρδία/σπλάγχνον	related	related	n
καρδία/σάρξ	related	distantly_related	n
καρδία/μόριον	related	same_domain	n
καρδία/θώραξ	related	related	n
καρδία/γαστήρ	related	related	n
καρδία/κοιλία	related	related	n
καρδία/ὀφθαλμός	distantly_related	related	n
καρδία/στόμα	distantly_related	related	n
συμφορά/θάνατος	distantly_related	related	n
συμφορά/τύχη	related	synonym	n
συμφορά/κίνδυνος	related	related	n
συμφορά/πολίτης	unrelated	same_domain	n
συμφορά/ὀργή	same_domain	distantly_related	n
συμφορά/ἐλπίς	same_domain	distantly_related	n
συμφορά/τιμωρία	unrelated	distantly_related	n
συμφορά/λύπη	same_domain	related	n
συμφορά/πόλεμος	same_domain	related	n
συμφορά/φόβος	same_domain	related	n
συμφορά/πάθος	synonym	synonym	n
συμφορά/πρᾶγμα	synonym	distantly_related	n
συμφορά/νόσος	related	related	n
συμφορά/πενία	same_domain	related	n
συμφορά/πόνος	synonym	distantly_related	n
συμφορά/ἔργον	distantly_related	distantly_related	n
ὀδούς/κεφαλή	related	distantly_related	n
ὀδούς/στόμα	related	distantly_related	n
ὀδούς/γένυς	related	distantly_related	n
ὀδούς/ὀστέον	related	distantly_related	n
ὀδούς/ὄνυξ	related	distantly_related	n
ὀδούς/θρίξ	distantly_related	distantly_related	n
ὀδούς/ὀφθαλμός	related	related	n
ὀδούς/πούς	distantly_related	distantly_related	n
ὀδούς/δέρμα	distantly_related	distantly_related	n
ὀδούς/δάκτυλος	distantly_related	distantly_related	n
ὀδούς/χεῖλος	related	related	n
ὀδούς/ἔκφυσις	related	same_domain	n
ὀδούς/χείρ	distantly_related	distantly_related	n
ὀδούς/νεῦρον	distantly_related	distantly_related	n
ὀδούς/οὖς	related	distantly_related	n
ὀδούς/μηρός	distantly_related	distantly_related	n
ὀδούς/κέρας	related	related	n
κῦμα/θάλασσα	related	related	n
κῦμα/πόντος	related	related	n
κῦμα/ἄνεμος	distantly_related	same_domain	n
κῦμα/πέλαγος	related	related	n
κῦμα/ναῦς	same_domain	same_domain	n
κῦμα/γαῖα	same_domain	same_domain	n
κῦμα/ἅλς	related	related	n
κῦμα/πέτρα	same_domain	same_domain	n
κῦμα/χθών	same_domain	same_domain	n
κῦμα/οἶδμα	synonym	synonym	n
κῦμα/ὕδωρ	related	related	n
κῦμα/κλύδων	synonym	synonym	n
κῦμα/ποταμός	related	distantly_related	n
κῦμα/νέφος	distantly_related	related	n
κῦμα/δόρυ	unrelated	unrelated	n
κῦμα/φλόξ	same_domain	related	n
κῦμα/τεῖχος	unrelated	same_domain	n
σιωπή/σιγή	synonym	synonym	n
σιωπή/ἡσυχία	synonym	synonym	n
σιωπή/ἀνήρ	unrelated	same_domain	n
σιωπή/δῆμος	unrelated	same_domain	n
σιωπή/φόβος	unrelated	unrelated	n
σιωπή/βασιλεύς	unrelated	unrelated	n
σιωπή/δικαστής	unrelated	unrelated	n
σιωπή/θάνατος	same_domain	related	n
σιωπή/θόρυβος	related	related	n
σιωπή/πρᾶγμα	unrelated	unrelated	n
σιωπή/αἰδώς	distantly_related	distantly_related	n
σιωπή/φυγή	unrelated	unrelated	n
σιωπή/νύξ	same_domain	distantly_related	n
σιωπή/σχολή	related	same_domain	n
σιωπή/δέος	unrelated	unrelated	n
σιωπή/κίνδυνος	unrelated	unrelated	n
σιωπή/τρόπος	unrelated	unrelated	n
σιωπή/χρόνος	unrelated	same_domain	n
σιωπή/ἡμέρα	unrelated	unrelated	n
σιωπή/καιρός	unrelated	unrelated	n
σιωπή/σπουδή	related	same_domain	n
σιωπή/σκότος	same_domain	distantly_related	n
σιωπή/λόγος	unrelated	same_domain	n
σιωπή/βουλή	unrelated	same_domain	n
σιωπή/ἔργον	unrelated	unrelated	n
σιωπή/εἰρήνη	distantly_related	related	n
σιωπή/βία	unrelated	unrelated	n
ἔρις/φιλονεικία	same_domain	related	n
ἔρις/πόλεμος	related	related	n
ἔρις/θυμός	same_domain	distantly_related	n
ἔρις/μάχη	related	related	n
ἔρις/φθόνος	related	related	n
ἔρις/ἀνήρ	unrelated	same_domain	n
ἔρις/φόνος	same_domain	distantly_related	n
ἔρις/ἔρως	same_domain	distantly_related	n
ἔρις/στάσις	synonym	related	n
ἔρις/βία	same_domain	distantly_related	n
ἔρις/φιλοτιμία	same_domain	distantly_related	n
ἔρις/ταραχή	distantly_related	distantly_related	n
ἔρις/ὀργή	related	related	n
ἔρις/φόβος	same_domain	distantly_related	n
ἔρις/ἅμιλλα	synonym	synonym	n
ἔρις/ἀγών	synonym	synonym	n
ἔρις/πόνος	distantly_related	same_domain	n
ἔρις/θόρυβος	distantly_related	same_domain	n
ἄγαλμα/ναός	same_domain	distantly_related	n
ἄγαλμα/ξόανον	synonym	synonym	n
ἄγαλμα/βωμός	distantly_related	distantly_related	n
ἄγαλμα/ἀνάθημα	synonym	related	n
ἄγαλμα/τέμενος	same_domain	same_domain	n
ἄγαλμα/εἰκών	synonym	synonym	n
ἄγαλμα/ἱερόν	same_domain	distantly_related	n
ἄγαλμα/ἀνδριάς	synonym	synonym	n
ἄγαλμα/εἴδωλον	synonym	distantly_related	n
ἄγαλμα/λίθος	distantly_related	related	n
ἄγαλμα/στήλη	related	related	n
ἄγαλμα/σκεῦος	distantly_related	distantly_related	n
πλοῖον/ναῦς	synonym	synonym	n
πλοῖον/τριήρης	synonym	synonym	n
πλοῖον/σκάφος	synonym	synonym	n
πλοῖον/κυβερνήτης	same_domain	distantly_related	n
πλοῖον/ναύτης	same_domain	distantly_related	n
πλοῖον/στόλος	same_domain	distantly_related	n
πλοῖον/λιμήν	same_domain	distantly_related	n
πλοῖον/θάλασσα	same_domain	distantly_related	n
πλοῖον/ὁλκάς	synonym	synonym	n
πλοῖον/ἀκάτιον	synonym	synonym	n
πλοῖον/λέμβος	synonym	synonym	n
πλοῖον/στρατιώτης	same_domain	distantly_related	n
πλοῖον/στρατιά	same_domain	distantly_related	n
πλοῖον/σῖτος	same_domain	same_domain	n
πλοῖον/ἵππος	same_domain	related	n
πλοῖον/οἰκία	unrelated	distantly_related	n
πλοῖον/χρῆμα	unrelated	same_domain	n
πλοῖον/ὅπλον	same_domain	same_domain	n
πλοῖον/στρατός	same_domain	distantly_related	n
ὗς/κύων	related	related	n
ὗς/λέων	related	distantly_related	n
ὗς/ἔλαφος	related	related	n
ὗς/βοῦς	related	related	n
ὗς/ὄρνις	distantly_related	distantly_related	n
ὗς/αἴξ	related	related	n
ὗς/ταῦρος	related	related	n
ὗς/ἰχθύς	distantly_related	distantly_related	n
ὗς/λύκος	related	distantly_related	n
ὗς/θηρίον	related	related	n
ὗς/ἵππος	related	related	n
ὗς/ζῷον	related	related	n
ὗς/πρόβατον	related	related	n
ὗς/πάρδαλις	related	distantly_related	n
ὗς/τρόπος	unrelated	unrelated	n
ὗς/ὄις	related	related	n
νεανίσκος/μειράκιον	synonym	synonym	n
νεανίσκος/ἀνήρ	related	related	n
νεανίσκος/γυνή	distantly_related	distantly_related	n
νεανίσκος/παῖς	synonym	distantly_related	n
νεανίσκος/βασιλεύς	distantly_related	distantly_related	n
νεανίσκος/νεανίας	synonym	synonym	n
νεανίσκος/στρατιώτης	distantly_related	distantly_related	n
νεανίσκος/δῆμος	unrelated	same_domain	n
νεανίσκος/ἡλικία	same_domain	distantly_related	n
νεανίσκος/παρθένος	related	related	n
νεανίσκος/οἰκέτης	synonym	related	n
νεανίσκος/πλῆθος	unrelated	unrelated	n
νεανίσκος/θυγάτηρ	distantly_related	distantly_related	n
νεανίσκος/πρέσβυς	related	distantly_related	n
νεανίσκος/πατήρ	distantly_related	distantly_related	n
νεανίσκος/ἀδελφός	distantly_related	related	n
νεανίσκος/πολίτης	distantly_related	distantly_related	n
νεανίσκος/κόρη	related	distantly_related	n
οὐλή/ἀντικνήμιον	distantly_related	distantly_related	n
οὐλή/ἔτος	unrelated	unrelated	n
οὐλή/γαστροκνημία	distantly_related	distantly_related	n
οὐλή/ὀφρύς	distantly_related	distantly_related	n
οὐλή/μέτωπον	distantly_related	distantly_related	n
οὐλή/κόλλημα	distantly_related	related	n
οὐλή/φακός	related	synonym	n
οὐλή/κόλλημα	distantly_related	related	n
οὐλή/δεσμοφύλαξ	unrelated	unrelated	n
οὐλή/μήτηρ	unrelated	unrelated	n
οὐλή/ὑπογραφεύς	unrelated	unrelated	n
οὐλή/δάκτυλος	distantly_related	distantly_related	n
οὐλή/ῥίς	distantly_related	distantly_related	n
οὐλή/γένειον	distantly_related	distantly_related	n
οὐλή/γόνυ	distantly_related	distantly_related	n
οὐλή/πῆχυς	distantly_related	distantly_related	n
οὐλή/ἀφῆλιξ	unrelated	unrelated	n
οὐλή/κνήμη	distantly_related	distantly_related	n
οὐλή/γεωργός	unrelated	unrelated	n
οὐλή/οἴδημα	related	related	n
λοχαγός/ταξίαρχος	synonym	related	n
λοχαγός/λόχος	same_domain	same_domain	n
λοχαγός/ὁπλίτης	related	distantly_related	n
λοχαγός/στρατιώτης	related	distantly_related	n
λοχαγός/στρατηγός	synonym	related	n
λοχαγός/ἱππεύς	related	distantly_related	n
λοχαγός/χιλίαρχος	synonym	related	n
λοχαγός/στράτευμα	same_domain	same_domain	n
λοχαγός/στρατιά	same_domain	same_domain	n
λοχαγός/στρατόπεδον	same_domain	same_domain	n
λοχαγός/ἡγεμών	synonym	related	n
λοχαγός/σπεῖρα	same_domain	same_domain	n
λοχαγός/πολέμαρχος	synonym	related	n
λοχαγός/ἄρχων	synonym	related	n
λοχαγός/σατράπης	distantly_related	related	n
λοχαγός/ἵππαρχος	related	related	n
λοχαγός/τριήραρχος	related	related	n
ἄχος/θυμός	related	related	n
ἄχος/ἄλγος	synonym	synonym	n
ἄχος/ἦτορ	same_domain	related	n
ἄχος/φρήν	same_domain	related	n
ἄχος/χόλος	related	related	n
ἄχος/γαῖα	unrelated	unrelated	n
ἄχος/δόμος	unrelated	unrelated	n
ἄχος/ἄναξ	unrelated	unrelated	n
ἄχος/πότμος	same_domain	related	n
ἄχος/πῆμα	same_domain	related	n
ἄχος/πένθος	synonym	synonym	n
ἄχος/γόος	same_domain	related	n
ἄχος/ἄτη	distantly_related	distantly_related	n
ἄχος/ἔπος	unrelated	unrelated	n
ἄχος/ἀυτή	same_domain	related	n
ἄχος/ἀνία	synonym	related	n
ἄχος/φάτις	unrelated	unrelated	n
ἄχος/μόρος	same_domain	related	n
ἄχος/ποθή	distantly_related	same_domain	n
ἄχος/σῆμα	unrelated	same_domain	n
ἄχος/τύμβος	unrelated	same_domain	n
ἄχος/λέκτρον	unrelated	unrelated	n
ἶρις/σμύρνα	distantly_related	distantly_related	n
ἶρις/δράξ	unrelated	unrelated	n
ἶρις/κασσία	related	same_domain	n
ἶρις/νάρδος	related	distantly_related	n
ἶρις/καρδάμωμον	related	related	n
ἶρις/κρόκος	related	distantly_related	n
ἶρις/πέπερι	distantly_related	same_domain	n
ἶρις/στυπτηρία	unrelated	distantly_related	n
ἶρις/λίβανος	distantly_related	related	n
ἶρις/γεντιανή	related	related	n
ἶρις/ὀπίας	unrelated	same_domain	n
ἶρις/κόστος	related	distantly_related	n
ἶρις/πετροσέλινον	related	related	n
ἶρις/πύρεθρον	related	related	n
ἶρις/ζιγγίβερις	related	related	n
ἶρις/μαλάβαθρον	related	related	n
ἶρις/κηκίς	distantly_related	unrelated	n
ἶρις/χαλβάνη	related	related	n
ψάμμος/ὕδωρ	distantly_related	distantly_related	n
ψάμμος/κόνις	related	related	n
ψάμμος/ἄμμος	synonym	synonym	n
ψάμμος/πηλός	related	related	n
ψάμμος/πέτρα	related	distantly_related	n
ψάμμος/λίθος	related	distantly_related	n
ψάμμος/θάλασσα	same_domain	same_domain	n
ψάμμος/γῆ	related	related	n
ψάμμος/ψάμαθος	synonym	synonym	n
ψάμμος/πηγή	same_domain	same_domain	n
ψάμμος/θίς	synonym	synonym	n
ψάμμος/τέφρα	related	related	n
ψάμμος/ἰλύς	related	related	n
ψάμμος/αἰγιαλός	related	distantly_related	n
ψάμμος/κόλπος	same_domain	same_domain	n
ψάμμος/λίμνη	same_domain	same_domain	n
ψάμμος/ὄρος	synonym	same_domain	n
ψάμμος/βοτάνη	related	same_domain	n
ψάμμος/ἀήρ	distantly_related	same_domain	n
ψάμμος/τόπος	same_domain	same_domain	n
ψάμμος/φάραγξ	same_domain	same_domain	n
ψάμμος/ξύλον	distantly_related	distantly_related	n
ἀνάμνησις/μνήμη	synonym	synonym	n
ἀνάμνησις/μάθησις	related	related	n
ἀνάμνησις/θεωρία	related	distantly_related	n
ἀνάμνησις/λόγος	distantly_related	related	n
ἀνάμνησις/ἀπόδειξις	same_domain	related	n
ἀνάμνησις/εὕρεσις	distantly_related	related	n
ἀνάμνησις/διδασκαλία	same_domain	related	n
ἀνάμνησις/ὑπόμνησις	synonym	synonym	n
ἀνάμνησις/λήθη	related	related	n
ἀνάμνησις/λογισμός	same_domain	related	n
ἀνάμνησις/ἐμπειρία	related	related	n
ἀνάμνησις/χάρις	unrelated	same_domain	n
ἀνάμνησις/θέα	related	distantly_related	n
ἀνάμνησις/ἔννοια	related	related	n
ἀνάμνησις/αἰτία	unrelated	same_domain	n
ἀνάμνησις/ἐπίδειξις	unrelated	related	n
ἀνάμνησις/γυμνασία	same_domain	same_domain	n
ἀνάμνησις/τρόπος	unrelated	unrelated	n
ἀνάμνησις/ἐπίστασις	same_domain	unrelated	n
ἀνάμνησις/δόξα	same_domain	distantly_related	n
ἀνάμνησις/καιρός	unrelated	related	n
ἀνάμνησις/ἀκολουθία	unrelated	unrelated	n
ἀνάμνησις/αἴσθησις	related	distantly_related	n
ἀνάμνησις/διόρθωσις	unrelated	same_domain	n
ἀνάμνησις/γένεσις	unrelated	unrelated	n
ἀνάμνησις/παράδειγμα	same_domain	unrelated	n
προσευχή/εὐχή	synonym	synonym	n
προσευχή/δέησις	related	related	n
προσευχή/νηστεία	same_domain	distantly_related	n
προσευχή/κύριος	same_domain	same_domain	n
προσευχή/θεός	same_domain	same_domain	n
προσευχή/θυσία	distantly_related	related	n
προσευχή/εὐχαριστία	same_domain	distantly_related	n
προσευχή/κρίμα	unrelated	related	n
προσευχή/ἔλεος	same_domain	distantly_related	n
προσευχή/ἱκεσία	synonym	synonym	n
προσευχή/παράκλησις	related	synonym	n
προσευχή/ἐντολή	related	distantly_related	n
προσευχή/πίστις	same_domain	distantly_related	n
προσευχή/ἐλεημοσύνη	same_domain	distantly_related	n
προσευχή/ἱκετεία	synonym	synonym	n
προσευχή/χάρις	same_domain	same_domain	n
προσευχή/ἔργον	unrelated	same_domain	n
προσευχή/διδασκαλία	unrelated	same_domain	n
προσευχή/ῥῆμα	distantly_related	distantly_related	n
προσευχή/λόγος	distantly_related	distantly_related	n
προσευχή/στεναγμός	distantly_related	distantly_related	n
προσευχή/ἐκκλησία	synonym	same_domain	n
προσευχή/ὕμνος	related	same_domain	n
προσευχή/ἀγάπη	same_domain	same_domain	n
κωμῳδία/τραγῳδία	related	related	n
κωμῳδία/ποιητής	same_domain	distantly_related	n
κωμῳδία/ὑποκριτής	same_domain	distantly_related	n
κωμῳδία/δρᾶμα	related	related	n
κωμῳδία/κωμῳδός	synonym	distantly_related	n
κωμῳδία/ὄρχησις	same_domain	related	n
κωμῳδία/ποίημα	related	related	n
κωμῳδία/θέατρον	same_domain	distantly_related	n
κωμῳδία/ῥήτωρ	same_domain	same_domain	n
κωμῳδία/μῖμος	related	distantly_related	n
κωμῳδία/σοφιστής	same_domain	same_domain	n
κωμῳδία/συγγραφεύς	same_domain	distantly_related	n
κωμῳδία/τραγῳδός	related	distantly_related	n
κωμῳδία/ἐλεγεῖον	related	distantly_related	n
κωμῳδία/φιλόσοφος	unrelated	same_domain	n
κωμῳδία/κιθαριστής	same_domain	distantly_related	n
κωμῳδία/διθύραμβος	related	distantly_related	n
κωμῳδία/μουσική	related	distantly_related	n
κωμῳδία/ἐπίγραμμα	related	same_domain	n
κωμῳδία/ἱστορία	related	same_domain	n
κωμῳδία/μῦθος	related	distantly_related	n
κωμῳδία/μελοποιός	same_domain	distantly_related	n
ταμιεῖον/οἰκία	distantly_related	distantly_related	n
ταμιεῖον/χρῆμα	same_domain	same_domain	n
ταμιεῖον/θύρα	distantly_related	distantly_related	n
ταμιεῖον/οἴκημα	synonym	distantly_related	n
ταμιεῖον/ἀγορά	distantly_related	same_domain	n
ταμιεῖον/δωμάτιον	synonym	related	n
ταμιεῖον/θησαυρός	synonym	synonym	n
ταμιεῖον/τράπεζα	related	related	n
ταμιεῖον/οἶκος	synonym	distantly_related	n
ταμιεῖον/κέλλα	synonym	related	n
ταμιεῖον/κοιτών	related	distantly_related	n
ταμιεῖον/ἀποθήκη	synonym	related	n
ταμιεῖον/ὑπερῷον	related	distantly_related	n
ταμιεῖον/πυλών	distantly_related	distantly_related	n
ταμιεῖον/εἴσοδος	distantly_related	distantly_related	n
ταμιεῖον/αὐλή	related	distantly_related	n
ταμιεῖον/σκηνή	distantly_related	distantly_related	n
ταμιεῖον/σκεῦος	distantly_related	same_domain	n
ἠιών/θάλασσα	related	distantly_related	n
ἠιών/κῦμα	same_domain	same_domain	n
ἠιών/ἀκτή	synonym	synonym	n
ἠιών/ποταμός	related	distantly_related	n
ἠιών/πόντος	related	distantly_related	n
ἠιών/πέλαγος	related	distantly_related	n
ἠιών/ναῦς	same_domain	same_domain	n
ἠιών/χθών	related	distantly_related	n
ἠιών/πέτρα	distantly_related	distantly_related	n
ἠιών/νῆσος	distantly_related	distantly_related	n
ἠιών/αἰγιαλός	synonym	synonym	n
ἠιών/ὄχθη	synonym	related	n
ἠιών/κόλπος	related	related	n
ἠιών/λιμήν	related	related	n
ἠιών/ὄρος	same_domain	distantly_related	n
ἠιών/πεδίον	synonym	distantly_related	n
ἠιών/ψάμαθος	related	distantly_related	n
ἠιών/γαῖα	related	distantly_related	n
ἠιών/τεῖχος	unrelated	distantly_related	n
ἠιών/μυχός	related	same_domain	n
δελφίς/κῦμα	same_domain	same_domain	n
δελφίς/ἰχθύς	related	related	n
δελφίς/πέλαγος	same_domain	same_domain	n
δελφίς/πόντος	same_domain	same_domain	n
δελφίς/θάλασσα	same_domain	same_domain	n
δελφίς/ἵππος	distantly_related	distantly_related	n
δελφίς/ἠιών	same_domain	same_domain	n
δελφίς/κύων	distantly_related	distantly_related	n
δελφίς/ναῦς	same_domain	same_domain	n
δελφίς/χθών	unrelated	unrelated	n
δελφίς/λέων	distantly_related	distantly_related	n
δελφίς/ἔλαφος	distantly_related	distantly_related	n
δελφίς/βοῦς	distantly_related	distantly_related	n
δελφίς/ὄρνις	distantly_related	distantly_related	n
δελφίς/ἀετός	distantly_related	distantly_related	n
δελφίς/ταῦρος	distantly_related	distantly_related	n
δελφίς/κροκόδειλος	distantly_related	related	n
δελφίς/ἀλεκτρυών	distantly_related	distantly_related	n
δελφίς/λύκος	distantly_related	distantly_related	n
δελφίς/ἄνθρωπος	distantly_related	distantly_related	n
δελφίς/δράκων	distantly_related	related	n
δελφίς/ὗς	distantly_related	distantly_related	n
δελφίς/μυῖα	distantly_related	distantly_related	n
δελφίς/ἐλέφας	distantly_related	distantly_related	n
παραφυλακή/κώμη	unrelated	unrelated	n
παραφυλακή/ἀπηλιώτης	unrelated	unrelated	n
παραφυλακή/κτῆμα	unrelated	unrelated	n
παραφυλακή/ἐποίκιον	unrelated	unrelated	n
παραφυλακή/ὑπηρεσία	unrelated	unrelated	n
παραφυλακή/παγαρχία	unrelated	unrelated	n
παραφυλακή/λίψ	unrelated	unrelated	n
παραφυλακή/νομός	unrelated	unrelated	n
παραφυλακή/δαπάνη	unrelated	unrelated	n
παραφυλακή/φόρος	unrelated	unrelated	n
παραφυλακή/γεωργία	unrelated	unrelated	n
παραφυλακή/κατασπορά	unrelated	unrelated	n
